Object Tracking Data File Wed, Mar 15, 2023 4:12 PM
X (pixels)  	Y (pixels)  
960.75	162.01
1003.81	135.03
969.93	158.40
970.98	159.17
964.93	157.31
978.28	154.44
974.87	157.80
982.77	148.19
1018.60	133.46
985.51	147.01
983.69	149.91
1019.65	111.88
980.96	142.53
1020.46	115.01
1017.90	112.69
970.90	147.56
997.30	107.89
1020.33	108.40
971.43	145.77
972.46	146.65
1007.00	103.18
965.70	136.51
1015.67	91.41
976.35	132.84
1019.71	85.76
1010.36	72.14
1009.91	73.30
1021.85	86.38
1040.12	47.55
961.45	7.07
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
946.00	2.96
1010.33	74.28
1019.27	12.10
1053.00	5.00
1011.04	70.74
984.31	5.92
1007.78	74.78
1053.20	4.13
0.00	0.00
0.00	0.00
1028.20	8.32
1058.96	27.86
981.22	6.76
944.10	3.19
0.00	0.00
983.25	6.31
1010.13	75.58
1054.47	6.44
1080.20	10.14
1059.74	6.07
1036.37	46.59
984.79	5.62
984.69	5.43
1049.96	5.78
983.93	7.77
1036.20	22.46
1012.10	71.15
984.12	6.07
1056.64	5.79
1055.94	5.95
1051.21	5.95
1108.54	11.92
1052.04	4.64
987.66	5.00
984.42	6.23
1024.95	9.05
983.68	5.95
1055.08	4.17
1020.83	5.93
1047.71	4.68
984.51	5.72
1010.98	9.33
933.33	3.83
984.64	5.79
962.35	4.81
1023.29	6.11
1019.47	7.99
1053.32	4.84
984.43	6.59
983.91	5.55
931.05	5.07
910.77	15.98
955.01	75.59
1022.97	11.21
983.57	7.70
961.16	5.05
982.92	7.80
961.94	5.29
1019.67	6.34
942.02	3.81
957.19	5.39
1020.83	9.47
960.50	11.31
940.05	5.67
940.19	4.51
941.55	3.00
940.76	3.27
944.70	2.70
922.80	45.11
928.04	42.90
937.16	3.65
927.16	43.47
924.05	38.04
923.32	36.21
927.66	33.82
927.91	34.84
930.59	36.71
922.22	35.31
916.51	31.84
921.04	30.16
854.04	3.37
896.86	3.06
915.84	25.72
917.11	31.58
922.17	31.31
923.92	32.12
0.00	0.00
0.00	0.00
