Object Tracking Data File Wed, Mar 15, 2023 3:47 PM
X (pixels)  	Y (pixels)  
434.48	215.09
438.33	215.08
475.40	185.34
442.36	220.20
438.85	217.71
436.17	213.53
476.76	180.61
473.85	179.21
460.39	176.91
476.30	182.07
470.15	176.67
451.56	187.13
475.85	176.15
477.56	171.12
475.50	180.54
440.58	215.84
477.87	163.96
433.92	206.94
469.86	163.42
476.71	185.05
428.64	201.29
476.61	158.68
468.90	159.29
474.23	161.26
475.62	154.20
459.76	158.91
473.24	157.19
476.51	161.53
476.22	162.89
478.94	159.36
470.39	160.69
476.11	155.91
473.22	156.12
472.78	153.60
469.33	150.05
467.14	149.16
462.73	142.49
430.89	191.26
457.08	156.36
457.78	155.92
423.31	204.12
426.23	197.67
426.50	203.11
457.89	151.59
461.17	157.58
453.19	149.06
422.09	192.73
461.24	160.75
462.73	141.35
472.82	150.29
482.67	148.05
431.02	178.07
435.13	178.07
434.54	179.77
479.62	136.17
484.28	134.06
483.17	134.02
482.81	131.36
453.96	173.93
453.81	171.13
483.13	130.82
461.62	173.06
459.86	166.70
464.43	161.36
462.53	159.43
501.00	114.43
463.62	152.24
493.92	105.31
458.85	152.68
465.84	148.52
509.06	112.72
466.74	157.53
468.82	158.79
519.48	122.15
521.94	118.07
521.87	124.01
483.16	159.60
521.23	121.84
480.66	133.91
523.10	124.59
522.67	123.90
486.95	168.71
489.59	168.40
535.96	117.82
492.82	165.69
525.79	133.95
492.56	175.33
491.22	178.19
491.15	180.33
498.27	184.59
493.12	185.61
545.42	142.20
550.36	137.18
552.11	140.17
557.07	131.02
550.99	130.64
554.73	130.80
539.34	122.98
481.92	134.67
541.64	121.79
541.72	135.40
500.38	165.11
538.76	121.59
495.93	161.12
495.25	157.86
496.45	154.71
496.65	163.05
495.78	161.40
497.40	166.38
492.37	158.70
483.91	156.01
487.60	155.79
519.78	110.99
480.96	152.47
515.74	108.30
481.25	149.96
523.65	110.09
561.16	63.86
503.77	125.98
490.18	137.88
